Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Length (Duration),Popularity
44,American Idiot,Green Day,modern rock,2004,186,99,38,-2,37,176,78
45,Breaking the Habit,Linkin Park,alternative metal,2003,100,85,58,-5,9,197,65
46,Come Undone,Robbie Williams,dance pop,2002,168,57,38,-5,35,278,56
47,Sweet Jane,Lou Reed,art rock,2008,115,46,83,-10,70,331,43
48,Run,Snow Patrol,irish rock,2004,75,64,37,-6,17,355,65
49,"You're The First, The Last, My Everything",Barry White,adult standards,2009,131,72,64,-7,14,213,67
50,The Day After Tomorrow,Saybia,danish pop rock,2005,76,77,46,-5,14,234,51
51,Just Breathe,Pearl Jam,alternative rock,2009,108,35,47,-11,8,216,69
52,Dansen Aan Zee,BLØF,dutch pop,2000,194,43,35,-11,10,275,52
53,Goodbye My Lover,James Blunt,neo mellow,2005,90,26,43,-13,9,259,69
54,The Unforgiven III,Metallica,alternative metal,2008,122,77,30,-3,12,467,52
55,Hurt,Christina Aguilera,dance pop,2006,149,30,33,-7,11,243,67
56,Grounds for Divorce,Elbow,britpop,2009,92,76,52,-5,57,219,43
57,Sometimes You Can't Make It On Your Own,U2,irish rock,2004,96,60,53,-6,11,305,57
58,"Listen (From the Motion Picture ""Dreamgirls"")",Beyoncé,dance pop,2006,123,59,48,-5,18,218,44
59,I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,214,77
60,Goin To The Run,Golden Earring,album rock,2008,124,59,47,-8,28,236,38
61,De Neus Umhoeg,Rowwen Hèze,carnaval limburg,2005,132,41,62,-14,10,215,32
62,Solitary Man,Johnny Cash,arkansas country,2000,86,56,44,-7,25,144,47
63,Smoorverliefd,Doe Maar,dutch cabaret,2008,166,75,70,-9,19,195,48
64,Me Gustas Tu,Manu Chao,latin alternative,2001,176,74,66,-7,22,240,70
65,Kryptonite,3 Doors Down,alternative metal,2000,99,87,55,-6,17,234,77
66,Crazy,Seal,british soul,2004,103,86,63,-7,7,357,63
67,Family Portrait,P!nk,dance pop,2001,92,69,76,-5,57,297,56
68,In The Army Now,Status Quo,album rock,2002,105,73,68,-8,14,281,59
69,I Surrender,Saybia,danish pop rock,2004,136,43,28,-7,6,219,55
70,Maybe Tomorrow,Stereophonics,britpop,2003,81,65,50,-7,33,273,64
71,Make You Feel My Love,Adele,british soul,2008,77,18,55,-11,11,212,73
72,No One Knows,Queens of the Stone Age,alternative metal,2002,171,58,51,-5,37,279,65
73,Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,british folk,2008,183,44,56,-8,12,288,58
74,The Wild Rover,The Dubliners,celtic,2008,178,68,30,-8,43,249,46
75,Little Lion Man,Mumford & Sons,modern folk rock,2009,139,48,52,-8,9,247,67
76,Dirty Diana,Michael Jackson,pop,2003,131,80,75,-5,42,281,55
77,Ne me quitte pas,Jacques Brel,chanson,2004,101,24,42,-11,19,229,58
78,Sad Man's Tongue,Volbeat,alternative metal,2007,110,96,43,-4,17,186,57
79,Wat Zou Je Doen - Live,Marco Borsato,dutch cabaret,2006,104,92,66,-6,61,229,30
80,One Day Like This,Elbow,britpop,2009,159,67,43,-6,14,394,45
81,Bagagedrager,Spinvis,dutch indie,2002,160,71,50,-8,43,375,45
82,Wêr Bisto,Twarres,dutch pop,2001,88,32,52,-11,9,226,48
83,Only Time,Enya,celtic,2000,83,25,42,-14,11,219,70
84,Sorry Seems To Be The Hardest Word,Blue,boy band,2004,79,60,56,-7,38,210,58
85,Self Esteem,The Offspring,alternative metal,2005,105,91,46,-4,36,258,72
86,Aanzoek Zonder Ringen,BLØF,dutch pop,2006,160,85,55,-8,32,283,42
87,Modern World,Anouk,dutch indie,2007,120,76,70,-5,13,210,42
88,Rosie,Claw Boys Claw,dutch indie,2007,100,55,59,-12,11,264,43
89,This Is Not America - 2002 Remaster,David Bowie,album rock,2002,115,67,72,-12,5,231,43
90,Times Like These,Foo Fighters,alternative metal,2002,145,91,38,-4,24,266,65
91,De Vondeling Van Ameland,Boudewijn de Groot,dutch indie,2007,110,35,39,-10,11,306,19
92,I'm Gonna Be (500 Miles),The Proclaimers,celtic rock,2003,132,55,85,-5,8,219,74
93,Afscheid Nemen Bestaat Niet,Marco Borsato,dutch cabaret,2006,128,40,40,-9,9,240,49
94,Blauwe Ruis,BLØF,dutch pop,2002,130,70,52,-7,13,268,41
95,Limburg - Live,Rowwen Hèze,carnaval limburg,2008,157,93,23,-5,93,403,32
96,21 Guns,Green Day,modern rock,2009,160,74,27,-5,63,321,75
97,Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,dance pop,2007,106,84,70,-5,12,219,62
98,Blaosmuziek,Gé Reinders,carnaval limburg,2005,61,13,27,-14,33,232,38
99,Binnen,Marco Borsato,dutch cabaret,2002,92,90,50,-7,15,275,30
100,Motorcycle Emptiness,Manic Street Preachers,alternative rock,2002,112,81,53,-4,16,306,39
101,In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,217,83
102,Halt mich,Herbert Grönemeyer,german pop,2008,104,44,29,-7,8,207,44
103,Girl,Anouk,dutch indie,2004,136,80,67,-5,6,211,56
104,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",Bruce Springsteen,classic rock,2003,162,62,32,-6,60,308,40
105,Ik Wou Dat Ik Jou Was,Veldhuis & Kemper,dutch cabaret,2003,160,61,36,-6,11,237,58
106,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,216,75
107,Numb / Encore,JAY-Z,east coast hip hop,2004,107,79,69,-4,58,206,75
108,Ben Ik Te Min,Armand,dutch rock,2009,101,69,62,-7,6,208,47
109,All Summer Long,Kid Rock,alternative metal,2007,103,86,70,-4,10,298,72
110,Forever Autumn,Jeff Wayne,classic uk pop,2007,122,49,35,-7,21,273,41
111,Waiting On the World to Change,John Mayer,neo mellow,2006,177,76,58,-6,25,201,74
112,Everybody's Changing,Keane,modern rock,2004,94,84,52,-4,10,215,54
113,How to Save a Life,The Fray,modern rock,2005,122,74,64,-4,10,263,80
114,"Bloed, Zweet En Tranen",Andre Hazes,dutch pop,2002,68,72,60,-4,35,242,59
115,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2005,171,74,69,-5,36,326,77
116,Europa (Earth's Cry Heaven's Smile),Santana,blues rock,2007,75,67,30,-5,15,306,59
117,Feeling Good,Muse,modern rock,2001,109,42,35,-8,10,199,51
118,"Harder, Better, Faster, Stronger",Daft Punk,electro,2001,123,72,82,-9,36,225,71
119,Use Somebody,Kings of Leon,modern rock,2008,137,72,28,-5,20,231,76
120,Sweet Disposition,The Temper Trap,alternative dance,2009,129,82,53,-7,12,231,64
121,Single Ladies (Put a Ring on It),Beyoncé,dance pop,2008,193,58,43,-5,19,193,70
122,You're the Voice,John Farnham,australian pop,2008,85,76,37,-9,58,302,62
123,Voltooid Verleden Tijd,IOS,dutch pop,2009,138,44,46,-9,10,294,39
124,Eternal Flame,The Bangles,album rock,2004,79,36,53,-7,9,238,70
125,Papa Was A Rolling Stone,The Temptations,adult standards,2001,120,60,85,-12,19,433,44
126,Crazy In Love (feat. Jay-Z),Beyoncé,dance pop,2003,99,77,65,-7,7,236,75
127,Best of You,Foo Fighters,alternative metal,2005,130,94,37,-5,19,256,75
128,Daughters,John Mayer,neo mellow,2003,125,41,67,-8,10,238,68
129,De wedstrijd,Bram Vermeulen,belgian rock,2006,136,85,58,-6,79,302,42
130,Papillon,Editors,alternative dance,2009,126,95,51,-5,30,324,56
131,Sadeness,Enigma,downtempo,2001,96,64,59,-10,9,256,58
132,Red Mij Niet - Single Edit,Maarten Van Roozendaal,dutch indie,2001,119,38,52,-9,10,270,36
133,Love Is A Losing Game,Amy Winehouse,british soul,2006,165,56,48,-6,18,154,67
134,Zij,Marco Borsato,dutch cabaret,2002,58,40,25,-9,9,245,52
135,Tribute,Tenacious D,alternative metal,2001,94,77,37,-6,9,248,59
136,You Know I'm No Good,Amy Winehouse,british soul,2006,103,81,71,-4,7,257,74
137,Talk,Coldplay,permanent wave,2005,120,56,41,-11,16,311,63
138,Love Is A Battlefield,Pat Benatar,album rock,2001,91,63,67,-12,10,245,54
139,Home,Michael Bublé,adult standards,2005,128,37,61,-9,11,226,64
140,Sonne,Rammstein,alternative metal,2001,75,92,51,-5,40,272,60
141,I Gotta Feeling,The Black Eyed Peas,dance pop,2009,128,77,74,-6,51,289,69
142,She Sells Sanctuary,The Cult,album rock,2000,139,77,55,-9,13,253,63
143,Alie,Normaal,dutch rock,2008,93,77,52,-11,6,181,42
144,Red Red Wine,UB40,reggae fusion,2000,89,47,86,-9,27,184,74
145,A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,adult standards,2002,115,97,60,-6,13,212,64
146,Love You More,Racoon,dutch indie,2005,171,20,34,-11,11,197,43
147,Old Man,Neil Young,album rock,2004,141,30,71,-12,10,203,44
148,Zij Maakt Het Verschil,De Poema's,dutch pop,2003,173,55,34,-8,12,280,54
149,I Want To Hold Your Hand - Remastered 2015,The Beatles,british invasion,2000,131,72,49,-6,31,146,75
150,Black Magic Woman,Santana,blues rock,2007,124,55,50,-7,9,196,62
151,Set The Fire To The Third Bar,Snow Patrol,irish rock,2006,96,38,54,-7,8,204,49
152,Ghost Love Score,Nightwish,finnish metal,2004,101,78,44,-5,29,602,38
153,Going To A Town,Rufus Wainwright,canadian pop,2007,124,46,56,-7,10,245,38
154,Is Dit Alles,Doe Maar,dutch cabaret,2008,121,41,83,-14,5,324,44
155,A Gentleman's Excuse Me,Fish,album rock,2008,126,17,33,-14,32,259,44
156,God Put a Smile upon Your Face,Coldplay,permanent wave,2002,127,56,61,-6,4,297,64
157,Heartbreak Warfare,John Mayer,neo mellow,2009,97,55,62,-8,30,270,66
158,Sailing to Philadelphia,Mark Knopfler,classic rock,2005,99,48,59,-10,9,353,39
159,Accidentally In Love,Counting Crows,alternative rock,2004,138,93,55,-4,9,189,59
160,It's Raining Men,The Weather Girls,disco,2008,136,93,66,-6,70,212,58
161,One Word,Anouk,dutch indie,2004,92,57,62,-8,11,243,52
162,Goodnight Saigon,Billy Joel,album rock,2001,129,39,59,-14,7,423,46
163,Moonlight Shadow,Mike Oldfield,album rock,2009,129,72,61,-8,36,218,64
164,Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,Ramses Shaffy,dutch cabaret,2006,130,32,53,-17,97,281,41
165,Uprising,Muse,modern rock,2009,128,91,60,-4,12,305,76
166,My Immortal,Evanescence,alternative metal,2003,79,27,19,-9,13,263,74
167,Feel Like Flying,Racoon,dutch indie,2005,98,69,67,-7,10,213,41
168,Everything,Michael Bublé,adult standards,2007,123,69,69,-5,9,212,73
169,Hey There Delilah,Plain White T's,neo mellow,2005,104,29,66,-11,11,233,80
170,Speeltuin,Marco Borsato,dutch cabaret,2002,112,8,53,-16,11,135,50
171,"Comptine d'un autre été, l'après-midi",Yann Tiersen,bow pop,2001,100,19,48,-15,11,141,56
172,Sweet Goodbyes,Krezip,dutch indie,2009,110,33,63,-9,11,193,56
173,The Man Who Can't Be Moved,The Script,celtic rock,2008,100,63,61,-5,10,241,64
174,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,neo mellow,2008,173,30,32,-13,70,264,75
175,Halo,Beyoncé,dance pop,2008,80,72,51,-6,6,262,78
176,Hollereer,De Jeugd Van Tegenwoordig,dutch hip hop,2008,190,76,79,-7,10,346,46
177,Hier,BLØF,dutch pop,2000,164,76,50,-8,14,248,40
178,Ice Queen,Within Temptation,dutch metal,2003,92,57,26,-8,11,319,47
179,Another 45 Miles,Golden Earring,album rock,2008,91,59,56,-10,23,284,50
180,Like a Hurricane - 2003 Remaster,Neil Young,album rock,2004,114,83,42,-5,16,501,49
181,Father & Friend,Alain Clark,dutch pop,2007,98,62,66,-9,7,256,35
182,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,soft rock,2004,109,78,70,-8,6,289,70
183,The Blower's Daughter,Damien Rice,acoustic pop,2003,133,20,34,-14,34,287,56
184,Magnificent,U2,irish rock,2009,115,72,53,-6,11,324,44
185,Virtual Insanity - Remastered,Jamiroquai,acid jazz,2006,92,95,66,-5,14,229,69
186,Belle Hélène,Doe Maar,dutch cabaret,2008,138,56,74,-10,8,170,49
187,Go With The Flow,Queens of the Stone Age,alternative metal,2002,159,99,24,-4,83,187,58
188,Sound Of The Screameng Day,Golden Earrings,dutch prog,2008,138,55,59,-8,29,171,26
189,Plug in Baby,Muse,modern rock,2001,136,97,41,-4,11,218,53
190,Heavy Cross,Gossip,alternative dance,2009,120,69,79,-4,14,243,59
191,Nederwiet,Doe Maar,dutch cabaret,2008,131,71,78,-9,6,414,39
192,Heart Of Glass,Blondie,candy pop,2006,115,70,73,-8,6,252,52
193,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,284,80
194,Stuck In A Moment You Can't Get Out Of,U2,irish rock,2000,159,64,52,-5,17,272,52
195,Tumble and Fall,JOHAN,dutch indie,2001,170,61,45,-7,9,209,36
196,Les lacs du Connemara,Michel Sardou,chanson,2004,112,59,30,-10,63,364,59
197,Hier Kom Ik Weg,Daniël Lohues,dutch indie,2008,92,38,57,-10,13,208,39
198,Starlight,Muse,modern rock,2006,122,87,55,-4,21,240,73
199,Dakota,Stereophonics,britpop,2005,147,93,51,-3,9,297,68
200,Time To Say Goodbye (Con Te Partirò),Sarah Brightman,operatic pop,2006,105,44,29,-7,10,246,59
201,Green Eyes,Coldplay,permanent wave,2002,130,41,61,-9,23,223,63
202,Silence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit,Delerium,trance,2004,138,85,60,-6,6,235,58
203,De Kapitein Deel II,Acda en de Munnik,dutch cabaret,2000,115,61,67,-11,11,181,51
204,Supermassive Black Hole,Muse,modern rock,2006,120,92,67,-4,9,212,73
205,Pak Maar M'n Hand,Nick & Simon,dutch pop,2007,166,57,32,-5,11,212,59
206,De Bom,Doe Maar,dutch cabaret,2008,133,81,86,-8,12,161,49
207,Bombay,Golden Earring,album rock,2008,125,92,52,-7,2,234,34
208,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,album rock,2008,170,66,46,-9,33,274,72
209,Oerend Hard,Normaal,dutch rock,2008,127,66,66,-10,8,225,52
210,Society,Eddie Vedder,permanent wave,2007,162,33,56,-11,11,236,67
211,White Flag,Dido,dance pop,2003,170,54,51,-7,9,241,54
212,Heaven Must Be Missing An Angel - Pt. 1,Tavares,adult standards,2004,117,75,61,-9,39,394,49
213,Wake Me up When September Ends,Green Day,modern rock,2004,105,81,55,-5,10,286,77
214,Can't Stop,Red Hot Chili Peppers,alternative rock,2002,91,94,62,-3,17,269,80
215,Driving Home for Christmas,Chris Rea,art rock,2007,180,66,50,-9,21,240,80
216,Mutter,Rammstein,alternative metal,2001,116,62,49,-7,13,269,51
217,Pa,Doe Maar,dutch cabaret,2008,129,59,93,-12,11,219,41
218,Blauw,The Scene,belgian rock,2007,135,75,51,-7,14,236,47
219,Spicks And Specks,Bee Gees,adult standards,2001,123,63,65,-7,28,172,47
220,Stan,Eminem,detroit hip hop,2000,80,77,78,-4,52,404,75
221,Beautiful,Christina Aguilera,dance pop,2002,76,57,46,-4,11,239,71
222,Gravity,John Mayer,neo mellow,2006,124,33,76,-10,24,246,75
223,Leave the Light On,Beth Hart,blues rock,2009,142,48,57,-6,10,244,32
224,Ruthless Queen,Kayak,dutch prog,2009,124,46,53,-10,20,291,32
225,Everlong - Acoustic Version,Foo Fighters,alternative metal,2009,144,34,64,-11,11,251,69
226,Here Without You,3 Doors Down,alternative metal,2002,144,55,54,-7,13,239,75
227,One,Mary J. Blige,dance pop,2005,186,87,34,-3,13,260,61
228,Mijn Houten Hart,De Poema's,dutch pop,2003,70,59,43,-6,9,259,45
229,Mad World (Feat. Michael Andrews),Gary Jules,neo mellow,2002,174,6,35,-17,10,190,70
230,Sinds 1 Dag Of 2 (32 Jaar),Doe Maar,dutch cabaret,2008,114,60,88,-11,14,201,53
231,Feeling Good,Michael Bublé,adult standards,2005,115,55,54,-7,12,237,64
232,The Wall Street Shuffle,10cc,album rock,2004,98,50,52,-11,11,242,46
233,Song 2,Blur,alternative rock,2000,130,71,66,-7,7,122,64
234,I Would Stay,Krezip,dutch indie,2000,95,26,47,-11,12,232,55
235,Piano Man,Billy Joel,album rock,2001,179,47,33,-9,32,336,70
236,Fireflies,Owl City,pop,2009,180,66,51,-7,12,228,79
237,Lost,Anouk,dutch indie,2004,90,25,52,-10,14,222,51
238,Woman,Wolfmother,alternative rock,2006,113,95,22,-4,16,176,62
239,Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,70,83,-3,13,273,66
240,Yellow,Coldplay,permanent wave,2000,173,66,43,-7,23,267,82
241,This Is The Life,Amy Macdonald,scottish singer-songwriter,2007,95,88,62,-5,7,184,41
242,Wicked Game,Chris Isaak,mellow gold,2006,113,55,67,-8,9,287,70
243,Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,261,74
244,Not An Addict,K's Choice,alternative pop,2009,169,65,26,-7,12,288,43
245,So Incredible,Ilse DeLange,dutch americana,2008,104,86,54,-6,72,177,54
246,Mr Rock & Roll,Amy Macdonald,scottish singer-songwriter,2007,111,87,60,-5,11,215,30
247,Will You Be There - Single Version,Michael Jackson,pop,2005,83,63,41,-7,8,220,53
248,Vlinder,Rowwen Hèze,carnaval limburg,2003,175,79,35,-5,38,231,33
249,Cambodia,Kim Wilde,dance pop,2006,111,57,70,-8,11,236,51
250,Back To Black,Amy Winehouse,british soul,2006,123,73,49,-3,10,240,77
251,Dochters,Marco Borsato,dutch cabaret,2008,128,52,64,-10,11,270,57
252,Hocus Pocus,Focus,album rock,2001,184,82,26,-6,28,403,53
253,Mensch,Herbert Grönemeyer,german pop,2008,174,78,68,-6,8,270,47
254,Amsterdam,Coldplay,permanent wave,2002,73,18,26,-10,12,319,57
255,Time Is Running Out,Muse,modern rock,2004,118,84,59,-6,9,237,69
256,Rain Down on Me,Kane,dutch pop,2003,133,88,46,-3,11,247,47
257,Denis,Blondie,candy pop,2006,139,77,53,-7,6,139,42
258,Hometown Glory,Adele,british soul,2008,123,34,45,-9,10,269,59
259,Live And Let Die - Live,Paul McCartney,album rock,2003,150,93,24,-3,97,185,60
260,I Still Cry,Ilse DeLange,dutch americana,2000,98,35,54,-9,13,274,30
261,Ren Lenny Ren,Acda en de Munnik,dutch cabaret,2002,110,87,51,-5,33,233,43
262,In My Place,Coldplay,permanent wave,2002,145,59,43,-5,30,227,70
263,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,186,81
264,Slow Dancing in a Burning Room,John Mayer,neo mellow,2006,134,36,67,-9,8,242,76
265,Empire State Of Mind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,277,77
266,Drops of Jupiter,Train,dance pop,2001,79,64,47,-6,15,260,77
267,Omarm,BLØF,dutch pop,2003,184,44,27,-9,10,252,46
268,(What A) Wonderful World,Sam Cooke,adult standards,2000,129,51,69,-10,46,125,71
269,Teardrops,Womack & Womack,disco,2001,133,72,87,-10,18,229,61
270,The Rising,Bruce Springsteen,classic rock,2002,110,76,50,-6,9,287,53
271,Snow (Hey Oh),Red Hot Chili Peppers,alternative rock,2006,105,90,43,-4,12,335,80
272,I Don't Wanna Hurt,Anouk,dutch indie,2007,79,48,48,-7,10,213,46
273,Ordinary People,John Legend,neo mellow,2005,67,13,47,-14,9,281,69
274,Iedereen Is Van De Wereld,The Scene,belgian rock,2007,118,73,45,-7,29,228,50
275,Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,231,66
276,All Night Long (All Night) - Single Version,Lionel Richie,adult standards,2003,109,58,74,-12,5,260,64
277,Can't Stop Loving You - 2016 Remaster,Phil Collins,mellow gold,2002,100,78,60,-6,11,256,62
278,City Of Blinding Lights,U2,irish rock,2004,139,77,44,-4,11,346,60
279,Munich,Editors,alternative dance,2005,149,88,18,-4,32,226,61
280,Hey Ya!,OutKast,atl hip hop,2003,80,97,73,-2,18,235,79
281,There Must Be an Angel (Playing with My Heart),Eurythmics,dance pop,2005,112,78,58,-5,8,281,40
282,Laat Me / Vivre - Lange Versie,Alderliefste met Ramses Shaffy en Liesbeth List,dutch pop,2005,81,41,66,-9,16,386,43
283,Watskeburt?!,De Jeugd Van Tegenwoordig,dutch hip hop,2008,130,49,95,-8,23,376,55
284,Feel,Robbie Williams,dance pop,2002,98,73,60,-7,14,264,72
285,Lady Jane - (Original Single Mono Version),The Rolling Stones,album rock,2004,205,47,38,-12,9,190,34
286,La Isla Bonita,Madonna,dance pop,2009,100,83,71,-5,6,243,66
287,Go Like Elijah,Chi Coltrane,alternative pop rock,2009,134,88,63,-5,17,242,40
288,Chop Suey!,System Of A Down,alternative metal,2001,127,93,42,-4,13,210,80
289,Sorry - (Live in Tivoli),Kyteman,dutch indie,2009,68,47,35,-9,66,150,47
290,Black or White - Single Version,Michael Jackson,pop,2005,115,89,74,-4,9,203,64
291,Shut Your Eyes,Snow Patrol,irish rock,2006,125,74,69,-6,8,197,42
292,Ironic,Alanis Morissette,alternative rock,2005,171,64,46,-6,19,229,62
293,I Bet You Look Good On The Dancefloor,Arctic Monkeys,garage rock,2006,103,95,54,-4,38,174,58
294,Hurt,Johnny Cash,arkansas country,2002,90,39,53,-8,9,217,75
295,Vogue,Madonna,dance pop,2009,116,88,74,-6,42,317,66
296,If I Were a Boy,Beyoncé,dance pop,2008,90,52,63,-6,35,249,68
297,Dyna-Mite,Mud,classic uk pop,2005,141,92,58,-5,20,177,40
298,Une Belle Histoire (Een Mooi Verhaal),Alderliefste,dutch pop,2008,87,68,57,-8,18,268,38
299,Sandstorm - Radio Edit,Darude,eurodance,2007,136,98,54,-8,8,225,61
300,Right Next Door (Because Of Me),Robert Cray,blues,2002,87,65,61,-8,5,259,52
301,Hald Mich 'S Vas,Neet Oét Lottum,carnaval limburg,2004,179,54,29,-8,12,251,39
302,Like a Prayer,Madonna,dance pop,2009,111,84,62,-5,18,343,71
303,Rockin' All Over The World,Status Quo,album rock,2005,131,96,62,-5,51,217,47
304,Blue Hotel,Chris Isaak,mellow gold,2006,149,81,52,-4,12,192,42
305,Dear Mr. President,P!nk,dance pop,2009,128,30,48,-9,11,281,43
306,Stiekem Gedanst,Toontje Lager,dutch rock,2008,96,63,66,-10,60,215,53
307,Human,The Killers,modern rock,2008,135,80,56,-8,9,245,73
308,Lady Madonna - Remastered 2015,The Beatles,british invasion,2000,110,78,65,-5,22,137,63
309,Both Sides Now,Joni Mitchell,canadian folk,2000,78,14,26,-14,10,345,65
310,God Is a DJ,Faithless,big beat,2005,131,90,61,-7,17,209,57
311,Viva La Vida,Coldplay,permanent wave,2008,138,62,49,-7,11,242,78
312,Kids,MGMT,alternative dance,2007,123,93,45,-4,36,303,76
313,Bend & Break,Keane,modern rock,2004,138,84,47,-4,16,220,43
314,We Can Work It Out - Remastered 2015,The Beatles,british invasion,2000,106,68,38,-9,18,136,63
315,Sing for Absolution,Muse,modern rock,2004,170,68,44,-7,9,295,57
316,Superstition - Single Version,Stevie Wonder,adult standards,2002,100,63,63,-12,4,245,77
317,Vertigo,U2,irish rock,2004,140,82,42,-4,15,194,65
318,By the Way,Red Hot Chili Peppers,alternative rock,2002,122,97,45,-5,10,217,74
319,Hey Jude,The Beatles,british invasion,2006,74,63,46,-7,40,239,63
320,November,Rowwen Hèze,carnaval limburg,2005,186,40,32,-9,22,296,35
321,Geef Mij Je Angst,Guus Meeuwis,dutch pop,2006,81,56,37,-11,97,224,54
322,Stuck In The Middle With You,Stealers Wheel,classic rock,2009,124,56,80,-10,6,204,72
323,Het Regent Zonnestralen,Acda en de Munnik,dutch cabaret,2005,108,75,62,-6,11,226,57
324,Violet Hill,Coldplay,permanent wave,2008,76,58,35,-8,12,223,61
325,Dog Days Are Over,Florence + The Machine,art pop,2009,150,81,49,-5,12,252,69
326,Beautiful Day,U2,irish rock,2000,136,93,54,-6,36,246,63
